,raw_label,Unnamed: 0_x,fin_body,drug_body,mental_body,rela_body,suicide_body,hopeless_body,motivations,Unnamed: 0_y,postingFrequency,postingInterval,generalMoreFreq,generalWordCount,healthPostingFrequency,healthPostingInterval,healthMoreFreq,healthWordCount,mentionMethods,SWFrequency,SWPostingInterval,SWFreq,SWWordCount
raw_label,1.0,-0.043405387886706004,0.17037434650627337,0.17396319922756925,0.20784534846019934,0.15142407958496934,0.19242386093266653,0.11400421534862908,0.2673485424483416,0.1013599717217013,-0.08892381938942202,-0.03170385812704852,0.07602116219093338,0.010452450669960799,0.12430475091454904,0.005992858789650352,0.09600410183519692,0.03431504957811119,0.1515186173729616,0.23873327142089615,0.09884049060514223,0.1842301942901155,0.1028343281507391
Unnamed: 0_x,-0.043405387886706004,1.0,0.001535225403803878,0.020837289011390574,0.03506604530033372,0.030830299531586124,0.008058197955045728,0.04224485495570899,0.02868821251773607,-0.04173991071588881,0.03899330663785131,0.007918313877506297,-0.00011585967523566274,0.07806668375241735,0.017325808560293022,-0.047062706864311105,0.03588567082251972,-0.014300999715522384,-0.017202195698893377,-0.06072250175657325,-0.013959007193529894,-0.07402426224408329,-0.01728142280791836
fin_body,0.17037434650627337,0.001535225403803878,1.0,0.35548630074462834,0.3511487936848617,0.36962502861528135,0.2503254404380944,0.16922085764481418,0.695317151176988,0.025503052921919584,0.011705954727661795,-0.040100002073501416,-0.008576197183337977,-0.0013754009012108693,0.15677695173492298,0.09751543322675991,0.07017587466243753,0.13799170366357144,0.17144022166170303,0.17445574007982984,0.08028246513566209,0.09827200040660043,0.0759162539063267
drug_body,0.17396319922756925,0.020837289011390574,0.35548630074462834,1.0,0.3417071275203629,0.35653547827832305,0.27525295435543823,0.08392239246722072,0.6971138631728904,0.02720995466515708,0.07477075304737993,0.004015372983734726,-0.011886654574571439,0.007147836800320989,0.183818031491637,0.1310554572374268,0.13903297248352423,0.20044050014579148,0.26074289342087054,0.20234921695501767,0.10226347344134891,0.14476988912188277,0.012936008016917858
mental_body,0.20784534846019934,0.03506604530033372,0.3511487936848617,0.3417071275203629,1.0,0.25221747671084466,0.25560500218635024,0.12974078632106084,0.6566476524594335,0.058575102886617894,-0.061366099333723674,-0.025842575038327438,-0.0188757247585647,0.0926270818675769,0.2299945674104983,0.18912314088884416,0.192322788910261,0.28280674932404637,0.21498113401340516,0.12065536254704151,0.056293414844609806,0.08943450003130815,0.008002553176763122
rela_body,0.15142407958496934,0.030830299531586124,0.36962502861528135,0.35653547827832305,0.25221747671084466,1.0,0.30738130797550495,0.1353572875686633,0.6801560912283914,0.019874715461617346,0.07419893617553476,-0.01936797475599505,-0.007923270684547595,0.007254448955075234,0.15968986554029713,0.08449524545412132,0.10989534586796322,0.15413854201894475,0.2695108475040255,0.20579997010104742,0.08083214710780251,0.15632639754998492,0.023108875784841564
suicide_body,0.19242386093266653,0.008058197955045728,0.2503254404380944,0.27525295435543823,0.25560500218635024,0.30738130797550495,1.0,0.10771268101887084,0.6219417068343127,0.05632099131798708,-0.016028228217924555,0.07210536440204904,-0.03190063514233905,-0.03713643750119029,0.1443143071597869,0.09382900165051622,0.1314158535756512,0.1036765429630906,0.8625517883248177,0.27765562886511536,0.10073876956991075,0.19114976502154285,0.055621173009866166
hopeless_body,0.11400421534862908,0.04224485495570899,0.16922085764481418,0.08392239246722072,0.12974078632106084,0.1353572875686633,0.10771268101887084,1.0,0.1866812587013531,0.040681125221849905,0.031433818630001095,0.04186564570969036,0.03348532843408368,-0.051769117000818515,0.20167750488556035,-0.01076480341170225,0.012214028001013599,0.04727541570183495,0.08208991893656996,0.22763622965003882,0.11423148951107198,0.12239163327527214,0.08085418510670835
motivations,0.2673485424483416,0.02868821251773607,0.695317151176988,0.6971138631728904,0.6566476524594335,0.6801560912283914,0.6219417068343127,0.1866812587013531,1.0,0.055896835122929166,0.024945134808887697,-0.002827929152893619,-0.023591969532833428,0.020448505472677674,0.26099657956324507,0.17793139871770516,0.19174966641903707,0.26240031832691324,0.5298064927781367,0.29253135893020404,0.12548314430329946,0.2027122848872701,0.052399938887318635
Unnamed: 0_y,0.1013599717217013,-0.04173991071588881,0.025503052921919584,0.02720995466515708,0.058575102886617894,0.019874715461617346,0.05632099131798708,0.040681125221849905,0.055896835122929166,1.0,-0.0463474465823878,0.05219584547774606,-0.014435549493660894,0.06900975298736832,-0.07644659570011166,0.11800267855453939,-0.06479714581397983,0.04373415750803228,0.060437344362360174,0.029427773086294504,0.026730507608914197,-0.01639686577510563,0.15714980846709975
postingFrequency,-0.08892381938942202,0.03899330663785131,0.011705954727661795,0.07477075304737993,-0.061366099333723674,0.07419893617553476,-0.016028228217924555,0.031433818630001095,0.024945134808887697,-0.0463474465823878,1.0,-0.3650550411182595,-0.268785746208717,-0.02550407196253354,0.3912224827251723,0.14474254049490812,0.2265066622146396,0.13653115029180102,0.02197679343562315,0.27127817797651305,0.09561134400636348,0.07829631998513192,-0.0220343862322452
postingInterval,-0.03170385812704852,0.007918313877506297,-0.040100002073501416,0.004015372983734726,-0.025842575038327438,-0.01936797475599505,0.07210536440204904,0.04186564570969036,-0.002827929152893619,0.05219584547774606,-0.3650550411182595,1.0,0.17889723196298482,0.07372233243083316,-0.1921358840048078,0.02850221677853429,-0.11044060222826871,-0.13353280958952518,0.07176309150753898,-0.11701056880250085,-0.04219684591913832,-0.06988544816571313,-0.007385917142580825
generalMoreFreq,0.07602116219093338,-0.00011585967523566274,-0.008576197183337977,-0.011886654574571439,-0.0188757247585647,-0.007923270684547595,-0.03190063514233905,0.03348532843408368,-0.023591969532833428,-0.014435549493660894,-0.268785746208717,0.17889723196298482,1.0,-0.007242254231108156,-0.13365356758035515,-0.10154218180269844,-0.03324099866683139,-0.12168093352699662,-0.032980714284286006,-0.12149605379419383,0.03923811322945196,-0.12206927730070585,0.014952456702507153
generalWordCount,0.010452450669960799,0.07806668375241735,-0.0013754009012108693,0.007147836800320989,0.0926270818675769,0.007254448955075234,-0.03713643750119029,-0.051769117000818515,0.020448505472677674,0.06900975298736832,-0.02550407196253354,0.07372233243083316,-0.007242254231108156,1.0,-0.019753840529296723,0.05744132992674116,-0.058254072637059645,0.05280785896591009,-0.05885497232535014,-0.04074074418969691,0.03770983220195579,-0.02769615049292762,-0.011922218636252657
healthPostingFrequency,0.12430475091454904,0.017325808560293022,0.15677695173492298,0.183818031491637,0.2299945674104983,0.15968986554029713,0.1443143071597869,0.20167750488556035,0.26099657956324507,-0.07644659570011166,0.3912224827251723,-0.1921358840048078,-0.13365356758035515,-0.019753840529296723,1.0,0.07360983225833366,0.4344518289157484,0.305925162104766,0.13590399131270303,0.34338246646039783,0.1300385350726412,0.27868850969968706,0.049483138489268434
healthPostingInterval,0.005992858789650352,-0.047062706864311105,0.09751543322675991,0.1310554572374268,0.18912314088884416,0.08449524545412132,0.09382900165051622,-0.01076480341170225,0.17793139871770516,0.11800267855453939,0.14474254049490812,0.02850221677853429,-0.10154218180269844,0.05744132992674116,0.07360983225833366,1.0,0.06803798247894674,0.4581506488583128,0.09626063585678267,0.009332336345086322,0.036802833409305846,0.024280925695360153,-0.012165377476073713
healthMoreFreq,0.09600410183519692,0.03588567082251972,0.07017587466243753,0.13903297248352423,0.192322788910261,0.10989534586796322,0.1314158535756512,0.012214028001013599,0.19174966641903707,-0.06479714581397983,0.2265066622146396,-0.11044060222826871,-0.03324099866683139,-0.058254072637059645,0.4344518289157484,0.06803798247894674,1.0,0.28192050470769325,0.09015098950134719,0.19754424285649366,0.1562957898859407,0.0658980308180339,0.007546221750234719
healthWordCount,0.03431504957811119,-0.014300999715522384,0.13799170366357144,0.20044050014579148,0.28280674932404637,0.15413854201894475,0.1036765429630906,0.04727541570183495,0.26240031832691324,0.04373415750803228,0.13653115029180102,-0.13353280958952518,-0.12168093352699662,0.05280785896591009,0.305925162104766,0.4581506488583128,0.28192050470769325,1.0,0.08529097693637963,0.12233976879453119,0.08805359332414144,0.12121501135384878,0.08994214242189355
mentionMethods,0.1515186173729616,-0.017202195698893377,0.17144022166170303,0.26074289342087054,0.21498113401340516,0.2695108475040255,0.8625517883248177,0.08208991893656996,0.5298064927781367,0.060437344362360174,0.02197679343562315,0.07176309150753898,-0.032980714284286006,-0.05885497232535014,0.13590399131270303,0.09626063585678267,0.09015098950134719,0.08529097693637963,1.0,0.2904780714833069,0.042944178625296904,0.1947998403206475,0.04973332281541349
SWFrequency,0.23873327142089615,-0.06072250175657325,0.17445574007982984,0.20234921695501767,0.12065536254704151,0.20579997010104742,0.27765562886511536,0.22763622965003882,0.29253135893020404,0.029427773086294504,0.27127817797651305,-0.11701056880250085,-0.12149605379419383,-0.04074074418969691,0.34338246646039783,0.009332336345086322,0.19754424285649366,0.12233976879453119,0.2904780714833069,1.0,0.2634545799043334,0.620497446750717,0.1750358847968367
SWPostingInterval,0.09884049060514223,-0.013959007193529894,0.08028246513566209,0.10226347344134891,0.056293414844609806,0.08083214710780251,0.10073876956991075,0.11423148951107198,0.12548314430329946,0.026730507608914197,0.09561134400636348,-0.04219684591913832,0.03923811322945196,0.03770983220195579,0.1300385350726412,0.036802833409305846,0.1562957898859407,0.08805359332414144,0.042944178625296904,0.2634545799043334,1.0,0.12180239201605848,0.16984027087750977
SWFreq,0.1842301942901155,-0.07402426224408329,0.09827200040660043,0.14476988912188277,0.08943450003130815,0.15632639754998492,0.19114976502154285,0.12239163327527214,0.2027122848872701,-0.01639686577510563,0.07829631998513192,-0.06988544816571313,-0.12206927730070585,-0.02769615049292762,0.27868850969968706,0.024280925695360153,0.0658980308180339,0.12121501135384878,0.1947998403206475,0.620497446750717,0.12180239201605848,1.0,0.1359418746154464
SWWordCount,0.1028343281507391,-0.01728142280791836,0.0759162539063267,0.012936008016917858,0.008002553176763122,0.023108875784841564,0.055621173009866166,0.08085418510670835,0.052399938887318635,0.15714980846709975,-0.0220343862322452,-0.007385917142580825,0.014952456702507153,-0.011922218636252657,0.049483138489268434,-0.012165377476073713,0.007546221750234719,0.08994214242189355,0.04973332281541349,0.1750358847968367,0.16984027087750977,0.1359418746154464,1.0
